Responsible for information;№ p/p;Agreement, №;Structural unit 1;Structural unit 2;Name;Leader;Customer;Customer sector;Average cost of the entire contract;Grant;Co-contractor / subcontractor;Financing;Type of work;Service type;type of service;Direction XX.00.00;Direction XX.XX.00;Direction XX.XX.XX;TRL level;Patents (Numbers)
Аксенова Н.В.;;19-33-60101\19;НГУ ФЕН;ЛССиМРОС;Изучение полициклических ароматических соединений, полученных по реакции Дильса-Альдера фторированных нафталинонов, хинолинонов и антраценонов;Дян Ок Тон;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;9 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Химия и новые материалы;31: ХИМИЯ;31.21: ОРГАНИЧЕСКАЯ ХИМИЯ;"31.21.17: РЕАКЦИОННАЯ СПОСОБНОСТЬ; 
31.21.25: АРОМАТИЧЕСКИЕ СОЕДИНЕНИЯ; 
31.21.27: ГЕТЕРОЦИКЛИЧЕСКИЕ СОЕДИНЕНИЯ";2;
Медных Д.А.;;№ 417-10 от 07.09.2017;ИНГГ СО РАН;Лаб.многоволновых сейсмических исследований;Использование методов сейсмической интерферометрии для углубленной обработки рассеянных волн в целях реконструкции тонкой структуры пласта-коллектора и прогнозирование его флюидонасыщения с учетом простоанственного распределения зон разломов;Чеверда Владимир Альбертович;КРАСНОЯРСКНИПИНЕФТЬ ООО РН-;Нефть/Газ;25 000 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Аксенова Н.В.;;NSK/R&D/46/2016;НГУ ФИТ;ЛабВВС;Исследование OpenCL C++ 2.2 технологии в применении к задачам программирования сверхточных нейронных сетей;Рудыч Павел Дмитриевич;Интел А/О;Инфокоммуникационные разработки;320 513,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;2;
Ерманюк Е.И.;;РНФ 19-77-00068;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Исследование акустических свойств угольных образцов, содержащих гидрат метана, для разработки системы сейсмического мониторинга разработки угольных месторождений с целью прогноза газодинамических явлений;"Дугаров 
Гэсэр Александрович";Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;3 000 000,00;Грант;Нет;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.21: МЕТЕОРОЛОГИЯ;37.21.77: МОДЕЛИРОВАНИЕ ФИЗИЧЕСКОЕ И МАТЕМАТИЧЕСКОЕ;1;
Аксенова Н.В.;;SLB-FAC-16/09/2015-NSU/TCS;НГУ ФИТ;ИДМИ;Исследование возможности ускорения вычислительных процедур за счет использования современных параллельных компьютерных архитектур;Лаврентьев Михаил Михайлович;Технологическая компания Шлюмберже, ООО;Управление добычей и переработкой углеводородов;800 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;2;
Аксенова Н.В.;;19-48-540017;НГУ ФФ;ЛНТФФ;Исследование вопросов безопасности использования малых беспилотных летательных аппаратов в условиях городской застройки;Поливанов Павел Александрович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 600 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"30: МЕХАНИКА; 
73: ТРАНСПОРТ";"30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА; 
73.37: ВОЗДУШНЫЙ ТРАНСПОРТ";"30.17.33: ГАЗОВАЯ ДИНАМИКА; 
30.17.53: ПРИКЛАДНАЯ АЭРОДИНАМИКА; 
73.37.17: БЕЗОПАСНОСТЬ ПОЛЕТОВ ВОЗДУШНЫХ СУДОВ; 
73.37.81: АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА НА ВОЗДУШНОМ ТРАНСПОРТЕ";2;
Аксенова Н.В.;;РФФИ(И)-00127/16;НГУ ФФ;ЛФОЯФФ;Исследование динамических режимов взаимодействия резонансных атомов с модулированным лазерным излучением;Басалаев Максим Юрьевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;900 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;29: ФИЗИКА;"29.29: ФИЗИКА АТОМА И МОЛЕКУЛЫ; 
29.33: ЛАЗЕРНАЯ ФИЗИКА";"29.29.39: ВЗАИМОДЕЙСТВИЕ АТОМОВ И МОЛЕКУЛ С ВНЕШНИМИ ПОЛЯМИ И ИЗЛУЧЕНИЕМ; 
29.33.43: РАСПРОСТРАНЕНИЕ ЛАЗЕРНОГО ИЗЛУЧЕНИЯ";2;
Аксенова Н.В.;;19-43-543013\19;НГУ ФЕН;—;Исследование и моделирование механизмов сорбции диоксида углерода нерегенерируемыми и регенерируемыми хемосорбентами, оптимизация сорбционных свойств хемосорбентов;Деревщиков Владимир Сергеевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 400 000,00;Грант;;Бюджетное;НИР;Моделирование;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;"31.15.19: ХИМИЯ ТВЕРДОГО ТЕЛА; 
31.15.28: ТОПОХИМИЯ. ГЕТЕРОГЕННЫЙ КАТАЛИЗ;  
31.15.35: ПОВЕРХНОСТНЫЕ ЯВЛЕНИЯ. АДСОРБЦИЯ. ХРОМАТОГРАФИЯ. ИОННЫЙ ОБМЕН; 
31.15.37: ХИМИЯ КОЛЛОИДОВ. ДИСПЕРСНЫЕ СИСТЕМЫ";3;
Аксенова Н.В.;;YBN2018;НГУ ММФ;ЛАПДиМО;Исследование и прототипирование метода для повышения точности распознавания (см. стр. 11 в Договоре);Павловский Евгений Николаевич;Huawei Technologies Co. Ltd.;Инфокоммуникационные разработки;10 282 392,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;28: КИБЕРНЕТИКА;28.23: ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ;28.23.15: РАСПОЗНАВАНИЕ ОБРАЗОВ. ОБРАБОТКА ИЗОБРАЖЕНИЙ;6;
Аксенова Н.В.;;РФФИ(И)-00939/14;НГУ ФФ;ЛТОАЧиМ;Исследование квантовых эффектов при распространении эллиптически поляризованного света  в среде резонансных атомов;Тайченачев Алексей Владимирович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;880 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;;;;1;
Аксенова Н.В.;;СОГЛАШЕНИЕ № 18-79-00078;НГУ ФФ;ЛФТОЭ;Исследование локальных и интегральных характеристик теплообмена при кипении жидкости при субатмосферных давлениях, в том числе на гидрофобных покрытиях, с использованием высокоскоростных ИК-термографии и видеосъёмки;Суртаев Антон Сергеевич;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;3 000 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;"29: ФИЗИКА; 
30: МЕХАНИКА; 
44: ЭНЕРГЕТИКА";"29.17: ФИЗИКА ГАЗОВ И ЖИДКОСТЕЙ. ТЕРМО-ДИНАМИКА И СТАТИСТИЧЕСКАЯ ФИЗИКА; 
30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА; 
44.31: ТЕПЛОЭНЕРГЕТИКА. ТЕПЛОТЕХНИКА";"29.17.35: МЕТОДИКА И ТЕХНИКА ЭКСПЕРИМЕНТАЛЬ-НЫХ ИССЛЕДОВАНИЙ ГАЗОВ И ЖИДКОСТЕЙ; 
30.17.51: ПРИКЛАДНАЯ ГИДРОДИНАМИКА И ГИДРАВЛИКА; 
44.31.03: ТЕОРЕТИЧЕСКИЕ ОСНОВЫ ТЕПЛОТЕХНИКИ";2;
